Quarter;Goods;Services;Structures;Motor vehicle output
2019 Q2;0,1;1,79;0,83;0,14
2019 Q3;1,59;1,45;0,57;0,16
2019 Q4;0,52;1,49;-0,22;-0,43
2020 Q1;-0,7;-4,75;0,83;-0,98
2020 Q2;-7,99;-18,98;-2,88;-3,86
2020 Q3;19,61;14,16;1,55;5,92
2020 Q4;0,52;1,97;1,42;-0,64
2021 Q1;2,5;3,46;0,35;0,12
2021 Q2;3,01;4,54;-0,55;-0,22
2021 Q3;-0,02;3,16;-0,49;-1,42
2021 Q4;5,52;1,91;-0,47;0,98
2022 Q1;-1,76;0,57;-0,44;-0,1
2022 Q2;-0,96;1,83;-1,44;-0,1
2022 Q3;2,28;2,3;-1,34;0,07
2022 Q4;1,83;1,44;-0,7;0,26
